Test,Max RSS,Algo time,Result
1,-1,-1,UNKNOWN
3,-1,-1,UNKNOWN
4,-1,-1,UNKNOWN
2,18568,608,SAT
6,-1,-1,UNKNOWN
7,18568,637,SAT
5,-1,-1,UNKNOWN
8,18568,629,SAT
9,18568,184,UNSAT
10,18568,715,SAT
11,18568,557,SAT
12,18568,673,SAT
13,18568,626,SAT
14,-1,-1,UNKNOWN
15,-1,-1,UNKNOWN
17,-1,-1,UNKNOWN
16,-1,-1,UNKNOWN
18,-1,-1,UNKNOWN
19,18568,633,SAT
20,-1,-1,UNKNOWN
21,-1,-1,UNKNOWN
22,-1,-1,UNKNOWN
24,18568,741,SAT
23,18568,1421,SAT
25,18568,105,UNSAT
26,18568,5239,SAT
27,-1,-1,UNKNOWN
28,-1,-1,UNKNOWN
29,-1,-1,UNKNOWN
30,18568,622,SAT
33,18568,696,SAT
31,-1,-1,UNKNOWN
32,18568,9695,SAT
35,18568,602,SAT
34,-1,-1,UNKNOWN
37,-1,-1,UNKNOWN
38,-1,-1,UNKNOWN
36,18568,643,SAT
40,-1,-1,UNKNOWN
39,18568,855,SAT
41,-1,-1,UNKNOWN
42,18568,2686,SAT
43,18568,2258,SAT
44,-1,-1,UNKNOWN
45,18568,2757,SAT
46,18568,841,SAT
47,18568,105,UNSAT
48,-1,-1,UNKNOWN
50,-1,-1,UNKNOWN
49,18568,248,UNSAT
52,18568,2673,SAT
56,-1,-1,UNKNOWN
51,18568,722,SAT
55,-1,-1,UNKNOWN
57,18568,8834,SAT
54,-1,-1,UNKNOWN
53,-1,-1,UNKNOWN
58,18568,8641,SAT
59,18568,5615,SAT
61,-1,-1,UNKNOWN
62,-1,-1,UNKNOWN
60,18568,5202,SAT
63,-1,-1,UNKNOWN
65,18568,106,UNSAT
64,18568,8623,SAT
67,18568,8723,SAT
66,-1,-1,UNKNOWN
69,18568,9699,SAT
70,18568,8688,SAT
68,18568,8284,UNSAT
71,-1,-1,UNKNOWN
74,18568,746,SAT
76,-1,-1,UNKNOWN
72,-1,-1,UNKNOWN
78,18568,8636,SAT
77,-1,-1,UNKNOWN
73,18568,12723,SAT
75,18568,13762,SAT
80,-1,-1,UNKNOWN
79,-1,-1,UNKNOWN
81,18568,122,UNSAT
84,-1,-1,UNKNOWN
88,18568,11728,SAT
85,-1,-1,UNKNOWN
83,18568,8868,SAT
91,18568,719,SAT
90,-1,-1,UNKNOWN
93,18568,3673,SAT
96,-1,-1,UNKNOWN
95,-1,-1,UNKNOWN
94,-1,-1,UNKNOWN
82,-1,-1,UNKNOWN
89,18568,12748,SAT
97,18568,703,SAT
92,-1,-1,UNKNOWN
98,18568,5649,SAT
100,18568,3693,SAT
86,-1,-1,UNKNOWN
99,18568,14740,SAT
101,-1,-1,UNKNOWN
87,-1,-1,UNKNOWN
102,18568,16774,SAT
103,18568,12650,SAT
105,-1,-1,UNKNOWN
106,18568,11795,SAT
107,-1,-1,UNKNOWN
109,-1,-1,UNKNOWN
104,-1,-1,UNKNOWN
111,-1,-1,UNKNOWN
108,18568,13723,SAT
115,18568,15642,SAT
117,-1,-1,UNKNOWN
121,18568,11811,SAT
110,-1,-1,UNKNOWN
119,18568,1587,SAT
116,18568,774,SAT
118,-1,-1,UNKNOWN
120,-1,-1,UNKNOWN
122,-1,-1,UNKNOWN
113,18568,12812,SAT
123,18568,18604,SAT
112,18568,15742,SAT
114,-1,-1,UNKNOWN
124,18568,12272,UNSAT
126,-1,-1,UNKNOWN
125,18568,17655,SAT
127,18568,18267,SAT
130,-1,-1,UNKNOWN
132,18568,12699,SAT
128,18568,16862,SAT
135,18568,234,UNSAT
136,-1,-1,UNKNOWN
129,-1,-1,UNKNOWN
137,-1,-1,UNKNOWN
133,18568,10018,SAT
131,18568,133,UNSAT
138,18568,16697,SAT
134,18568,122,UNSAT
139,18568,21604,SAT
140,-1,-1,UNKNOWN
142,18568,8591,SAT
143,18568,18741,SAT
141,18568,634,SAT
144,18568,22714,SAT
145,-1,-1,UNKNOWN
146,18568,16748,SAT
147,-1,-1,UNKNOWN
148,-1,-1,UNKNOWN
157,-1,-1,UNKNOWN
158,-1,-1,UNKNOWN
149,18568,19647,SAT
159,-1,-1,UNKNOWN
150,-1,-1,UNKNOWN
165,-1,-1,UNKNOWN
166,-1,-1,UNKNOWN
152,-1,-1,UNKNOWN
173,-1,-1,UNKNOWN
174,-1,-1,UNKNOWN
151,-1,-1,UNKNOWN
178,18568,24666,SAT
177,-1,-1,UNKNOWN
179,-1,-1,UNKNOWN
153,18568,17720,SAT
180,-1,-1,UNKNOWN
182,-1,-1,UNKNOWN
183,18568,31619,SAT
184,18568,20680,SAT
185,18568,788,SAT
154,18568,24691,SAT
186,-1,-1,UNKNOWN
181,-1,-1,UNKNOWN
187,-1,-1,UNKNOWN
189,-1,-1,UNKNOWN
155,18568,15212,SAT
188,-1,-1,UNKNOWN
156,18568,4681,SAT
197,-1,-1,UNKNOWN
160,-1,-1,UNKNOWN
201,18568,26602,SAT
205,-1,-1,UNKNOWN
203,-1,-1,UNKNOWN
161,18568,8030,SAT
207,18568,13584,SAT
209,18568,18662,SAT
163,18568,20697,SAT
208,-1,-1,UNKNOWN
210,18568,28777,SAT
164,-1,-1,UNKNOWN
214,18568,27861,SAT
215,18568,25673,SAT
216,-1,-1,UNKNOWN
162,-1,-1,UNKNOWN
217,-1,-1,UNKNOWN
218,-1,-1,UNKNOWN
167,-1,-1,UNKNOWN
219,-1,-1,UNKNOWN
220,-1,-1,UNKNOWN
168,18568,660,SAT
221,-1,-1,UNKNOWN
222,18568,32796,SAT
169,-1,-1,UNKNOWN
227,-1,-1,UNKNOWN
233,18568,28822,SAT
170,-1,-1,UNKNOWN
242,18568,139,UNSAT
243,-1,-1,UNKNOWN
244,18568,36651,SAT
172,-1,-1,UNKNOWN
245,-1,-1,UNKNOWN
246,18568,30630,SAT
247,-1,-1,UNKNOWN
249,-1,-1,UNKNOWN
171,18568,16729,SAT
250,-1,-1,UNKNOWN
175,-1,-1,UNKNOWN
260,18568,44614,SAT
263,18568,42620,SAT
264,18568,41813,SAT
262,-1,-1,UNKNOWN
176,-1,-1,UNKNOWN
265,-1,-1,UNKNOWN
267,18568,28695,SAT
266,18568,34819,SAT
268,18568,38810,SAT
269,-1,-1,UNKNOWN
190,18568,12708,SAT
270,18568,40799,SAT
272,18568,28787,SAT
275,-1,-1,UNKNOWN
276,-1,-1,UNKNOWN
191,-1,-1,UNKNOWN
277,18568,40712,SAT
192,-1,-1,UNKNOWN
281,18568,695,SAT
283,18568,136,UNSAT
282,18568,639,SAT
284,-1,-1,UNKNOWN
194,18568,25920,SAT
287,18568,6669,SAT
195,-1,-1,UNKNOWN
288,-1,-1,UNKNOWN
290,18568,24721,SAT
193,-1,-1,UNKNOWN
294,-1,-1,UNKNOWN
293,18568,685,SAT
295,-1,-1,UNKNOWN
297,-1,-1,UNKNOWN
198,-1,-1,UNKNOWN
199,-1,-1,UNKNOWN
303,18568,47740,SAT
196,-1,-1,UNKNOWN
312,18696,48682,SAT
313,-1,-1,UNKNOWN
200,-1,-1,UNKNOWN
322,-1,-1,UNKNOWN
320,-1,-1,UNKNOWN
206,-1,-1,UNKNOWN
323,18696,40901,SAT
202,-1,-1,UNKNOWN
326,18696,52690,SAT
331,-1,-1,UNKNOWN
204,-1,-1,UNKNOWN
338,18696,45409,SAT
339,18696,40685,SAT
211,-1,-1,UNKNOWN
340,-1,-1,UNKNOWN
342,18696,31745,SAT
212,-1,-1,UNKNOWN
353,18696,27753,SAT
213,-1,-1,UNKNOWN
223,-1,-1,UNKNOWN
355,-1,-1,UNKNOWN
356,-1,-1,UNKNOWN
224,-1,-1,UNKNOWN
357,18696,47819,SAT
358,18696,32694,SAT
359,-1,-1,UNKNOWN
225,-1,-1,UNKNOWN
354,-1,-1,UNKNOWN
360,18696,118,UNSAT
361,-1,-1,UNKNOWN
363,-1,-1,UNKNOWN
226,-1,-1,UNKNOWN
364,-1,-1,UNKNOWN
362,18696,36666,SAT
365,18696,29752,SAT
367,18696,39612,SAT
366,-1,-1,UNKNOWN
228,18568,689,SAT
368,18696,39746,SAT
369,18696,111,UNSAT
370,18696,35082,SAT
230,18568,107,UNSAT
371,-1,-1,UNKNOWN
373,-1,-1,UNKNOWN
375,18696,33118,SAT
372,18696,36073,SAT
376,-1,-1,UNKNOWN
229,18568,571,SAT
380,-1,-1,UNKNOWN
381,18696,52573,SAT
382,18696,57715,SAT
383,18696,51601,SAT
384,18696,129,UNSAT
231,-1,-1,UNKNOWN
385,-1,-1,UNKNOWN
386,-1,-1,UNKNOWN
232,18568,32726,SAT
234,18568,28690,SAT
387,-1,-1,UNKNOWN
235,-1,-1,UNKNOWN
236,-1,-1,UNKNOWN
394,18696,16523,UNSAT
237,-1,-1,UNKNOWN
408,-1,-1,UNKNOWN
238,18568,28802,SAT
416,18696,24731,SAT
417,18696,509,SAT
418,-1,-1,UNKNOWN
240,-1,-1,UNKNOWN
419,18696,646,SAT
239,-1,-1,UNKNOWN
421,18696,684,SAT
241,-1,-1,UNKNOWN
425,18696,112,UNSAT
426,-1,-1,UNKNOWN
248,18568,40690,SAT
430,18696,758,SAT
431,18696,754,SAT
251,-1,-1,UNKNOWN
438,18696,663,SAT
252,18568,42712,SAT
442,-1,-1,UNKNOWN
254,-1,-1,UNKNOWN
451,-1,-1,UNKNOWN
452,-1,-1,UNKNOWN
255,-1,-1,UNKNOWN
461,-1,-1,UNKNOWN
462,18696,33766,SAT
463,18696,46819,SAT
464,18696,37786,SAT
465,18696,302,UNSAT
253,18568,31774,SAT
466,18696,600,SAT
258,18568,43702,SAT
471,-1,-1,UNKNOWN
472,-1,-1,UNKNOWN
257,-1,-1,UNKNOWN
502,-1,-1,UNKNOWN
504,18696,570,SAT
259,-1,-1,UNKNOWN
507,18696,734,SAT
508,18696,709,SAT
256,-1,-1,UNKNOWN
529,18696,672,SAT
261,18568,660,SAT
533,18696,780,SAT
534,-1,-1,UNKNOWN
538,-1,-1,UNKNOWN
542,-1,-1,UNKNOWN
271,-1,-1,UNKNOWN
545,-1,-1,UNKNOWN
544,18696,746,SAT
548,-1,-1,UNKNOWN
549,18696,7732,SAT
273,-1,-1,UNKNOWN
550,-1,-1,UNKNOWN
551,18696,4591,SAT
274,-1,-1,UNKNOWN
552,18696,7937,SAT
553,-1,-1,UNKNOWN
279,-1,-1,UNKNOWN
560,-1,-1,UNKNOWN
280,18568,95,UNSAT
564,18696,65667,SAT
565,18696,741,SAT
278,-1,-1,UNKNOWN
570,18696,139,UNSAT
571,-1,-1,UNKNOWN
572,-1,-1,UNKNOWN
573,-1,-1,UNKNOWN
285,18568,8874,SAT
286,-1,-1,UNKNOWN
575,-1,-1,UNKNOWN
574,-1,-1,UNKNOWN
289,-1,-1,UNKNOWN
582,-1,-1,UNKNOWN
291,-1,-1,UNKNOWN
586,-1,-1,UNKNOWN
587,-1,-1,UNKNOWN
292,18568,16833,SAT
588,18696,667,SAT
298,18568,617,SAT
591,18696,63224,UNSAT
592,-1,-1,UNKNOWN
299,18568,30648,SAT
601,18696,655,SAT
600,18696,682,SAT
296,-1,-1,UNKNOWN
604,18696,673,SAT
606,18696,123,UNSAT
301,18568,15652,SAT
613,18696,672,SAT
614,-1,-1,UNKNOWN
300,-1,-1,UNKNOWN
619,18696,651,SAT
620,-1,-1,UNKNOWN
302,18568,424,UNSAT
624,-1,-1,UNKNOWN
626,-1,-1,UNKNOWN
304,-1,-1,UNKNOWN
629,18696,604,SAT
305,-1,-1,UNKNOWN
635,-1,-1,UNKNOWN
306,-1,-1,UNKNOWN
636,18696,680,SAT
637,18696,808,SAT
307,18696,41837,SAT
647,-1,-1,UNKNOWN
646,18696,22744,SAT
308,-1,-1,UNKNOWN
648,-1,-1,UNKNOWN
649,-1,-1,UNKNOWN
650,18696,71649,SAT
310,18696,25112,SAT
651,18696,530,SAT
309,-1,-1,UNKNOWN
658,18696,283,UNSAT
311,-1,-1,UNKNOWN
664,18696,3694,SAT
670,18696,206,UNSAT
671,-1,-1,UNKNOWN
666,18696,9696,SAT
672,-1,-1,UNKNOWN
673,18696,682,SAT
314,-1,-1,UNKNOWN
678,-1,-1,UNKNOWN
315,-1,-1,UNKNOWN
687,-1,-1,UNKNOWN
316,-1,-1,UNKNOWN
317,18696,29696,SAT
688,18696,770,SAT
689,18696,591,SAT
690,18696,69660,SAT
318,-1,-1,UNKNOWN
691,-1,-1,UNKNOWN
319,18696,36824,SAT
700,-1,-1,UNKNOWN
321,-1,-1,UNKNOWN
702,18696,630,SAT
324,18696,39416,SAT
711,18696,41104,SAT
327,-1,-1,UNKNOWN
712,-1,-1,UNKNOWN
713,-1,-1,UNKNOWN
325,18696,39676,SAT
714,18696,47145,SAT
328,18696,43758,SAT
723,18696,683,SAT
329,18696,44758,SAT
724,-1,-1,UNKNOWN
725,18696,647,SAT
330,-1,-1,UNKNOWN
726,18696,718,SAT
728,-1,-1,UNKNOWN
727,-1,-1,UNKNOWN
332,-1,-1,UNKNOWN
733,18696,629,SAT
333,18696,43855,SAT
734,-1,-1,UNKNOWN
334,18696,1825,SAT
754,-1,-1,UNKNOWN
755,-1,-1,UNKNOWN
757,18696,71962,SAT
758,-1,-1,UNKNOWN
756,-1,-1,UNKNOWN
759,18696,563,SAT
760,18696,675,SAT
335,18696,46711,SAT
761,18696,565,SAT
763,-1,-1,UNKNOWN
762,-1,-1,UNKNOWN
337,18696,54697,SAT
764,-1,-1,UNKNOWN
765,-1,-1,UNKNOWN
336,-1,-1,UNKNOWN
773,-1,-1,UNKNOWN
341,-1,-1,UNKNOWN
783,-1,-1,UNKNOWN
784,18696,107,UNSAT
343,-1,-1,UNKNOWN
344,18696,43738,SAT
345,-1,-1,UNKNOWN
797,-1,-1,UNKNOWN
799,18696,134,UNSAT
346,18696,10695,SAT
347,-1,-1,UNKNOWN
348,-1,-1,UNKNOWN
800,-1,-1,UNKNOWN
349,18696,378,UNSAT
350,-1,-1,UNKNOWN
351,18696,48813,SAT
352,-1,-1,UNKNOWN
374,-1,-1,UNKNOWN
377,18696,130,UNSAT
801,-1,-1,UNKNOWN
378,18696,266,UNSAT
379,-1,-1,UNKNOWN
388,18696,16782,SAT
389,18696,49679,SAT
390,-1,-1,UNKNOWN
798,-1,-1,UNKNOWN
391,18696,43610,SAT
804,-1,-1,UNKNOWN
392,-1,-1,UNKNOWN
805,18696,106616,SAT
806,18696,610,SAT
802,-1,-1,UNKNOWN
807,18696,605,SAT
808,-1,-1,UNKNOWN
393,-1,-1,UNKNOWN
809,-1,-1,UNKNOWN
811,18824,384,UNSAT
810,18696,108825,SAT
813,-1,-1,UNKNOWN
815,18824,98006,SAT
820,-1,-1,UNKNOWN
822,-1,-1,UNKNOWN
395,-1,-1,UNKNOWN
812,18824,758,SAT
826,-1,-1,UNKNOWN
397,18696,60684,SAT
827,-1,-1,UNKNOWN
398,-1,-1,UNKNOWN
829,-1,-1,UNKNOWN
396,-1,-1,UNKNOWN
832,-1,-1,UNKNOWN
399,-1,-1,UNKNOWN
842,18824,605,SAT
850,-1,-1,UNKNOWN
851,-1,-1,UNKNOWN
400,-1,-1,UNKNOWN
854,-1,-1,UNKNOWN
401,-1,-1,UNKNOWN
857,-1,-1,UNKNOWN
858,18824,194,UNSAT
402,18696,49651,SAT
867,-1,-1,UNKNOWN
872,-1,-1,UNKNOWN
403,18696,58726,SAT
866,18824,76584,SAT
879,18824,102,UNSAT
404,18696,184,UNSAT
405,18696,273,UNSAT
406,18696,48747,SAT
407,-1,-1,UNKNOWN
881,-1,-1,UNKNOWN
410,18696,52687,SAT
880,-1,-1,UNKNOWN
882,-1,-1,UNKNOWN
411,-1,-1,UNKNOWN
883,18824,131802,SAT
409,-1,-1,UNKNOWN
878,-1,-1,UNKNOWN
412,18696,181,UNSAT
884,-1,-1,UNKNOWN
413,18696,4513,SAT
414,-1,-1,UNKNOWN
415,-1,-1,UNKNOWN
420,-1,-1,UNKNOWN
422,18696,12016,SAT
423,-1,-1,UNKNOWN
424,-1,-1,UNKNOWN
427,-1,-1,UNKNOWN
893,18824,704,SAT
428,18696,820,SAT
894,-1,-1,UNKNOWN
895,18824,92810,SAT
896,18824,102768,SAT
429,-1,-1,UNKNOWN
432,-1,-1,UNKNOWN
897,-1,-1,UNKNOWN
892,-1,-1,UNKNOWN
898,-1,-1,UNKNOWN
900,18824,98674,SAT
433,18696,39649,SAT
899,18824,94597,SAT
434,-1,-1,UNKNOWN
436,-1,-1,UNKNOWN
901,-1,-1,UNKNOWN
903,18824,733,SAT
902,18824,47729,SAT
435,18696,667,SAT
904,-1,-1,UNKNOWN
905,-1,-1,UNKNOWN
907,18824,102704,SAT
906,-1,-1,UNKNOWN
909,-1,-1,UNKNOWN
437,18696,700,SAT
918,18824,286,UNSAT
922,18824,120589,SAT
926,-1,-1,UNKNOWN
439,18696,149,UNSAT
930,-1,-1,UNKNOWN
440,18696,723,SAT
441,18696,702,SAT
938,-1,-1,UNKNOWN
443,18696,554,SAT
939,-1,-1,UNKNOWN
444,18696,48808,SAT
445,18696,772,SAT
940,18952,112818,SAT
446,18696,696,SAT
447,-1,-1,UNKNOWN
948,-1,-1,UNKNOWN
449,18696,633,SAT
954,-1,-1,UNKNOWN
955,18952,123172,SAT
956,-1,-1,UNKNOWN
959,18952,690,SAT
453,18696,712,SAT
454,18696,662,SAT
455,-1,-1,UNKNOWN
961,-1,-1,UNKNOWN
962,-1,-1,UNKNOWN
963,-1,-1,UNKNOWN
457,-1,-1,UNKNOWN
458,18696,608,SAT
964,18952,132773,SAT
456,-1,-1,UNKNOWN
973,18952,115741,SAT
966,-1,-1,UNKNOWN
459,-1,-1,UNKNOWN
974,18952,117705,SAT
448,-1,-1,UNKNOWN
975,-1,-1,UNKNOWN
450,-1,-1,UNKNOWN
976,18952,179,UNSAT
460,-1,-1,UNKNOWN
983,18952,122647,SAT
467,18696,294,UNSAT
988,18952,117828,SAT
468,18696,714,SAT
991,-1,-1,UNKNOWN
469,18696,39644,SAT
470,18696,818,SAT
475,18696,67660,SAT
476,-1,-1,UNKNOWN
477,-1,-1,UNKNOWN
474,-1,-1,UNKNOWN
479,-1,-1,UNKNOWN
473,18696,70703,SAT
480,-1,-1,UNKNOWN
478,18696,618,SAT
481,-1,-1,UNKNOWN
482,18696,744,SAT
484,-1,-1,UNKNOWN
485,-1,-1,UNKNOWN
483,-1,-1,UNKNOWN
486,18696,56700,SAT
487,18696,796,SAT
488,18696,627,SAT
489,-1,-1,UNKNOWN
490,-1,-1,UNKNOWN
491,18696,611,SAT
492,-1,-1,UNKNOWN
494,-1,-1,UNKNOWN
496,18696,43614,SAT
495,18696,644,SAT
497,18696,680,SAT
498,18696,664,SAT
493,18696,135,UNSAT
500,18696,667,SAT
499,-1,-1,UNKNOWN
501,-1,-1,UNKNOWN
503,18696,117,UNSAT
505,-1,-1,UNKNOWN
506,-1,-1,UNKNOWN
509,-1,-1,UNKNOWN
510,18696,721,SAT
511,-1,-1,UNKNOWN
512,-1,-1,UNKNOWN
515,18696,627,SAT
513,-1,-1,UNKNOWN
516,-1,-1,UNKNOWN
514,-1,-1,UNKNOWN
517,-1,-1,UNKNOWN
518,-1,-1,UNKNOWN
519,18696,678,SAT
523,18696,639,SAT
522,18696,833,SAT
520,-1,-1,UNKNOWN
521,18696,626,SAT
524,18696,723,SAT
525,18696,724,SAT
526,18696,650,SAT
527,-1,-1,UNKNOWN
528,18696,618,SAT
530,-1,-1,UNKNOWN
531,18696,201,UNSAT
532,-1,-1,UNKNOWN
535,18696,41751,SAT
536,18696,34979,SAT
540,18696,49774,SAT
537,-1,-1,UNKNOWN
541,-1,-1,UNKNOWN
539,18696,52579,SAT
547,-1,-1,UNKNOWN
546,18696,68667,SAT
543,18696,776,SAT
554,18696,13762,SAT
555,-1,-1,UNKNOWN
557,18696,13737,SAT
558,-1,-1,UNKNOWN
556,18696,10748,SAT
561,18696,74641,SAT
562,18696,41693,SAT
559,-1,-1,UNKNOWN
563,18696,40747,SAT
566,-1,-1,UNKNOWN
567,18696,345,UNSAT
568,18696,628,SAT
569,-1,-1,UNKNOWN
576,18696,76770,SAT
578,-1,-1,UNKNOWN
577,18696,56706,SAT
580,-1,-1,UNKNOWN
581,18696,72223,SAT
583,18696,69631,SAT
584,18696,64626,SAT
579,-1,-1,UNKNOWN
585,18696,64071,SAT
589,18696,741,SAT
590,-1,-1,UNKNOWN
594,-1,-1,UNKNOWN
593,-1,-1,UNKNOWN
595,18696,664,SAT
596,18696,706,SAT
598,18696,565,SAT
597,-1,-1,UNKNOWN
599,-1,-1,UNKNOWN
602,18696,693,SAT
603,18696,670,SAT
605,18696,120,UNSAT
607,-1,-1,UNKNOWN
608,18696,745,SAT
609,-1,-1,UNKNOWN
610,18696,652,SAT
611,-1,-1,UNKNOWN
612,-1,-1,UNKNOWN
615,18696,711,SAT
616,-1,-1,UNKNOWN
617,-1,-1,UNKNOWN
618,-1,-1,UNKNOWN
621,18696,275,UNSAT
622,18696,746,SAT
623,18696,137,UNSAT
625,-1,-1,UNKNOWN
627,-1,-1,UNKNOWN
628,18696,644,SAT
630,-1,-1,UNKNOWN
631,-1,-1,UNKNOWN
632,-1,-1,UNKNOWN
633,18696,740,SAT
634,18696,269,UNSAT
638,18696,654,SAT
640,-1,-1,UNKNOWN
641,-1,-1,UNKNOWN
639,18696,703,SAT
642,-1,-1,UNKNOWN
643,18696,637,SAT
644,18696,823,SAT
645,-1,-1,UNKNOWN
652,18696,96558,SAT
654,-1,-1,UNKNOWN
655,-1,-1,UNKNOWN
653,18696,93804,SAT
656,-1,-1,UNKNOWN
657,-1,-1,UNKNOWN
659,-1,-1,UNKNOWN
660,-1,-1,UNKNOWN
661,-1,-1,UNKNOWN
662,-1,-1,UNKNOWN
663,-1,-1,UNKNOWN
665,-1,-1,UNKNOWN
667,-1,-1,UNKNOWN
668,18696,85670,SAT
669,-1,-1,UNKNOWN
674,18696,213,UNSAT
675,-1,-1,UNKNOWN
676,18696,696,SAT
677,-1,-1,UNKNOWN
679,18696,599,SAT
680,18696,667,SAT
681,18696,617,SAT
682,-1,-1,UNKNOWN
683,-1,-1,UNKNOWN
685,18696,812,SAT
684,18696,675,SAT
686,18696,665,SAT
693,-1,-1,UNKNOWN
692,-1,-1,UNKNOWN
695,18696,627,SAT
694,18696,648,SAT
696,-1,-1,UNKNOWN
697,18696,709,SAT
698,-1,-1,UNKNOWN
699,-1,-1,UNKNOWN
701,-1,-1,UNKNOWN
703,18696,72643,SAT
704,18696,132,UNSAT
706,-1,-1,UNKNOWN
707,-1,-1,UNKNOWN
708,-1,-1,UNKNOWN
705,-1,-1,UNKNOWN
