Test,Max RSS,Algo time,Result
1,18380,131,SAT
3,18380,156,SAT
4,18380,104,SAT
2,18380,115,SAT
5,18380,104,SAT
6,18508,105,SAT
7,18508,116,SAT
8,18508,95,SAT
9,18508,45,UNSAT
10,18508,110,SAT
11,18508,98,SAT
12,18508,106,SAT
13,18508,158,SAT
14,18508,106,SAT
15,18508,130,SAT
16,18508,134,SAT
18,18508,131,SAT
17,18508,110,SAT
19,18508,103,SAT
20,18508,102,SAT
21,18508,121,SAT
22,18508,114,SAT
23,18508,126,SAT
24,18508,108,SAT
25,18508,24,UNSAT
26,18508,127,SAT
28,18508,121,SAT
27,18508,106,SAT
29,18508,173,SAT
30,18508,109,SAT
32,18508,127,SAT
31,18508,109,SAT
33,18508,132,SAT
34,18508,120,SAT
36,18508,96,SAT
35,18508,131,SAT
37,18508,107,SAT
38,18508,111,SAT
40,18508,124,SAT
39,18508,111,SAT
41,18508,111,SAT
43,18636,97,SAT
42,18636,113,SAT
44,18636,105,SAT
45,18636,132,SAT
46,18636,121,SAT
47,18636,20,UNSAT
48,18636,111,SAT
49,18636,49,UNSAT
50,18636,93,SAT
51,18636,112,SAT
52,18636,106,SAT
53,18636,105,SAT
54,18636,93,SAT
56,18636,140,SAT
55,18636,106,SAT
57,18636,135,SAT
58,18636,126,SAT
59,18636,97,SAT
60,18636,107,SAT
61,18636,102,SAT
62,18636,121,SAT
64,18636,89,SAT
63,18636,146,SAT
65,18636,27,UNSAT
66,18636,118,SAT
67,18636,132,SAT
68,18636,21,UNSAT
69,18636,98,SAT
70,18636,101,SAT
71,18636,110,SAT
72,18636,106,SAT
74,18636,100,SAT
73,18636,120,SAT
75,18636,117,SAT
76,18636,120,SAT
77,18636,124,SAT
79,18636,105,SAT
78,18636,123,SAT
80,18636,115,SAT
81,18636,38,UNSAT
84,18636,112,SAT
82,18636,131,SAT
83,18636,147,SAT
85,18636,142,SAT
86,18636,128,SAT
87,18636,121,SAT
88,18636,108,SAT
89,18636,109,SAT
90,18636,129,SAT
91,18636,95,SAT
93,18636,123,SAT
92,18636,117,SAT
94,18636,90,SAT
95,18636,200,SAT
96,18636,137,SAT
97,18636,125,SAT
98,18636,173,SAT
99,18636,96,SAT
100,18636,85,SAT
101,18636,83,SAT
102,18636,137,SAT
103,18636,100,SAT
104,18636,149,SAT
105,18636,117,SAT
106,18636,115,SAT
108,18636,113,SAT
107,18636,121,SAT
109,18636,137,SAT
110,18636,114,SAT
112,18636,103,SAT
111,18636,110,SAT
113,18636,92,SAT
114,18636,94,SAT
115,18636,142,SAT
116,18636,119,SAT
117,18636,145,SAT
119,18636,102,SAT
118,18636,127,SAT
120,18636,117,SAT
121,18636,101,SAT
122,18636,154,SAT
123,18636,64,SAT
124,18636,47,UNSAT
125,18636,140,SAT
126,18636,119,SAT
128,18636,117,SAT
127,18636,109,SAT
129,18636,128,SAT
131,18636,21,UNSAT
132,18636,109,SAT
130,18636,140,SAT
133,18636,130,SAT
134,18636,43,UNSAT
135,18636,22,UNSAT
137,18636,124,SAT
136,18636,115,SAT
139,18636,274,SAT
138,18636,101,SAT
141,18636,100,SAT
140,18636,124,SAT
142,18636,176,SAT
143,18636,135,SAT
144,18636,139,SAT
145,18636,143,SAT
146,18636,124,SAT
147,18636,121,SAT
148,18636,111,SAT
149,18636,139,SAT
150,18636,107,SAT
151,18636,102,SAT
152,18636,135,SAT
153,18636,150,SAT
154,18636,108,SAT
155,18636,93,SAT
156,18636,92,SAT
158,18636,150,SAT
157,18636,101,SAT
160,18636,95,SAT
159,18636,114,SAT
161,18636,118,SAT
162,18636,134,SAT
163,18636,99,SAT
164,18636,116,SAT
165,18636,137,SAT
166,18636,127,SAT
167,18636,134,SAT
168,18636,101,SAT
169,18636,140,SAT
171,18636,108,SAT
170,18636,87,SAT
172,18636,113,SAT
173,18636,130,SAT
174,18636,140,SAT
175,18636,115,SAT
176,18636,122,SAT
177,18636,100,SAT
178,18636,116,SAT
179,18636,104,SAT
181,18636,132,SAT
182,18636,114,SAT
180,18636,140,SAT
184,18636,108,SAT
183,18636,94,SAT
185,18636,128,SAT
186,18636,113,SAT
