Test,Max RSS,Algo time,Result
1,-1,-1,UNKNOWN
6,-1,-1,UNKNOWN
4,18412,3282,UNSAT
12,-1,-1,UNKNOWN
9,-1,-1,UNKNOWN
2,-1,-1,UNKNOWN
7,18412,25263,UNSAT
14,-1,-1,UNKNOWN
3,18412,3020,UNSAT
15,18412,23237,UNSAT
5,-1,-1,UNKNOWN
20,-1,-1,UNKNOWN
24,18412,2854,UNSAT
8,-1,-1,UNKNOWN
22,18412,18504,UNSAT
10,18412,14802,UNSAT
13,-1,-1,UNKNOWN
23,-1,-1,UNKNOWN
25,18412,19173,UNSAT
11,-1,-1,UNKNOWN
19,18412,31108,UNSAT
18,18412,15113,UNSAT
17,-1,-1,UNKNOWN
16,-1,-1,UNKNOWN
21,-1,-1,UNKNOWN
53,-1,-1,UNKNOWN
26,-1,-1,UNKNOWN
49,18412,24443,UNSAT
28,18412,27206,UNSAT
31,-1,-1,UNKNOWN
51,-1,-1,UNKNOWN
32,-1,-1,UNKNOWN
38,-1,-1,UNKNOWN
85,18412,11115,UNSAT
29,-1,-1,UNKNOWN
42,18412,19063,UNSAT
27,-1,-1,UNKNOWN
34,-1,-1,UNKNOWN
30,-1,-1,UNKNOWN
33,18412,23323,UNSAT
58,18412,18167,UNSAT
57,-1,-1,UNKNOWN
35,-1,-1,UNKNOWN
37,18412,27050,UNSAT
50,18412,10622,UNSAT
48,-1,-1,UNKNOWN
36,18412,23262,UNSAT
43,18412,23106,UNSAT
39,-1,-1,UNKNOWN
46,-1,-1,UNKNOWN
41,-1,-1,UNKNOWN
40,-1,-1,UNKNOWN
44,18412,19282,UNSAT
45,18412,23195,UNSAT
47,-1,-1,UNKNOWN
54,18412,3074,UNSAT
73,18412,18106,UNSAT
55,-1,-1,UNKNOWN
87,18412,15318,UNSAT
86,-1,-1,UNKNOWN
82,-1,-1,UNKNOWN
103,18612,26962,UNSAT
52,-1,-1,UNKNOWN
84,18412,3168,UNSAT
70,-1,-1,UNKNOWN
71,-1,-1,UNKNOWN
72,18412,2948,UNSAT
66,18412,15062,UNSAT
79,18412,7351,UNSAT
56,-1,-1,UNKNOWN
62,18412,15292,UNSAT
77,-1,-1,UNKNOWN
60,18412,3004,UNSAT
107,18612,22162,UNSAT
59,18412,2878,UNSAT
112,-1,-1,UNKNOWN
80,-1,-1,UNKNOWN
64,18412,19069,UNSAT
61,18412,19150,UNSAT
78,18412,16020,UNSAT
69,18412,2982,UNSAT
88,-1,-1,UNKNOWN
63,-1,-1,UNKNOWN
83,-1,-1,UNKNOWN
81,18412,3126,UNSAT
105,18612,30181,UNSAT
65,18412,3039,UNSAT
68,18412,13225,UNSAT
104,18612,31279,UNSAT
67,18412,19169,UNSAT
76,18412,18121,UNSAT
74,18412,2900,UNSAT
75,-1,-1,UNKNOWN
113,-1,-1,UNKNOWN
110,-1,-1,UNKNOWN
138,18612,12148,UNSAT
93,-1,-1,UNKNOWN
91,-1,-1,UNKNOWN
95,18412,2813,UNSAT
89,-1,-1,UNKNOWN
90,18412,22982,UNSAT
92,18412,2924,UNSAT
106,-1,-1,UNKNOWN
94,-1,-1,UNKNOWN
109,18612,34257,UNSAT
108,-1,-1,UNKNOWN
111,-1,-1,UNKNOWN
96,18412,11017,UNSAT
100,-1,-1,UNKNOWN
97,18412,19162,UNSAT
99,-1,-1,UNKNOWN
102,-1,-1,UNKNOWN
98,-1,-1,UNKNOWN
101,-1,-1,UNKNOWN
137,18612,26271,UNSAT
114,-1,-1,UNKNOWN
140,-1,-1,UNKNOWN
117,18612,3072,UNSAT
118,-1,-1,UNKNOWN
136,18612,3081,UNSAT
120,-1,-1,UNKNOWN
123,18612,36184,UNSAT
122,18612,23100,UNSAT
121,-1,-1,UNKNOWN
115,18612,3207,UNSAT
135,-1,-1,UNKNOWN
126,-1,-1,UNKNOWN
124,18612,47136,UNSAT
116,18612,3286,UNSAT
125,18612,2950,UNSAT
132,-1,-1,UNKNOWN
194,-1,-1,UNKNOWN
119,18612,3071,UNSAT
146,-1,-1,UNKNOWN
130,18612,2924,UNSAT
128,18612,3200,UNSAT
131,-1,-1,UNKNOWN
129,18612,42161,UNSAT
127,18612,3024,UNSAT
141,18612,3180,UNSAT
144,-1,-1,UNKNOWN
133,18612,34935,UNSAT
143,18612,2988,UNSAT
142,18612,46973,UNSAT
134,18612,2956,UNSAT
139,18612,51081,UNSAT
150,-1,-1,UNKNOWN
147,-1,-1,UNKNOWN
148,18612,57072,UNSAT
149,18612,55089,UNSAT
161,18612,45430,UNSAT
145,18612,59214,UNSAT
152,-1,-1,UNKNOWN
153,18612,55298,UNSAT
155,-1,-1,UNKNOWN
151,18612,42056,UNSAT
156,18612,52010,UNSAT
154,18612,53882,UNSAT
159,-1,-1,UNKNOWN
162,-1,-1,UNKNOWN
