Test,Max RSS,Algo time,Result
1,18128,171,SAT
3,18128,145,SAT
2,18128,132,SAT
4,18128,148,SAT
5,18128,145,SAT
6,18128,151,SAT
7,18128,135,SAT
8,18128,134,SAT
10,18128,156,SAT
9,18128,105,SAT
11,18128,160,SAT
12,18128,141,SAT
13,18128,140,SAT
14,18128,122,SAT
15,18128,132,SAT
16,18128,145,SAT
17,18216,130,SAT
18,18216,180,SAT
19,18216,150,SAT
20,18216,167,SAT
21,18216,148,SAT
22,18216,156,SAT
23,18216,138,SAT
24,18216,185,SAT
26,18216,134,SAT
25,18216,141,SAT
27,18216,157,SAT
29,18216,156,SAT
28,18216,196,SAT
30,18216,120,SAT
31,18216,145,SAT
32,18216,143,SAT
33,18216,174,SAT
34,18216,145,SAT
35,18216,147,SAT
36,18216,150,SAT
37,18216,128,SAT
38,18216,147,SAT
39,18216,141,SAT
40,18216,119,SAT
41,18216,150,SAT
42,18216,159,SAT
43,18216,165,SAT
44,18216,134,SAT
45,18216,151,SAT
46,18216,173,SAT
48,18216,133,SAT
47,18216,148,SAT
49,18216,153,SAT
50,18216,143,SAT
51,18216,153,SAT
52,18216,164,SAT
53,18216,145,SAT
54,18216,125,SAT
55,18216,150,SAT
56,18216,150,SAT
58,18216,157,SAT
57,18216,136,SAT
60,18216,180,SAT
59,18216,274,SAT
61,18216,128,SAT
62,18216,127,SAT
63,18216,165,SAT
64,18216,241,SAT
65,18216,145,SAT
66,18216,127,SAT
67,18216,151,SAT
68,18216,142,SAT
69,18216,179,SAT
70,18216,138,SAT
71,18216,186,SAT
72,18216,161,SAT
74,18216,140,SAT
73,18216,143,SAT
75,18216,126,SAT
76,18216,161,SAT
77,18216,137,SAT
78,18216,151,SAT
79,18216,141,SAT
80,18216,157,SAT
81,18216,145,SAT
82,18216,153,SAT
83,18216,147,SAT
84,18216,151,SAT
85,18216,164,SAT
86,18216,156,SAT
87,18216,174,SAT
88,18216,155,SAT
89,18216,177,SAT
90,18216,138,SAT
91,18216,152,SAT
93,18216,132,SAT
92,18216,138,SAT
94,18216,153,SAT
95,18216,149,SAT
96,18216,131,SAT
97,18216,177,SAT
98,18216,158,SAT
99,18216,171,SAT
100,18216,180,SAT
102,18216,134,SAT
101,18216,142,SAT
103,18216,143,SAT
104,18216,134,SAT
105,18216,158,SAT
106,18216,120,SAT
107,18216,118,SAT
108,18216,130,SAT
109,18216,176,SAT
110,18216,214,SAT
111,18216,177,SAT
112,18216,141,SAT
113,18216,144,SAT
114,18216,172,SAT
115,18216,148,SAT
116,18216,134,SAT
117,18216,144,SAT
118,18216,205,SAT
119,18216,122,SAT
120,18216,142,SAT
121,18216,141,SAT
122,18216,157,SAT
123,18216,156,SAT
124,18216,141,SAT
125,18216,148,SAT
126,18216,131,SAT
127,18216,184,SAT
128,18216,148,SAT
129,18216,139,SAT
130,18216,153,SAT
131,18216,132,SAT
132,18216,138,SAT
133,18216,235,SAT
134,18216,146,SAT
135,18216,172,SAT
136,18216,146,SAT
138,18216,162,SAT
137,18216,145,SAT
139,18216,135,SAT
140,18216,182,SAT
142,18216,152,SAT
141,18216,163,SAT
143,18216,129,SAT
144,18216,142,SAT
145,18216,138,SAT
146,18216,147,SAT
147,18216,186,SAT
148,18216,176,SAT
149,18216,154,SAT
150,18216,195,SAT
151,18216,128,SAT
152,18216,155,SAT
154,18216,141,SAT
153,18216,136,SAT
155,18216,146,SAT
156,18216,145,SAT
157,18216,150,SAT
158,18216,133,SAT
159,18216,161,SAT
160,18216,135,SAT
161,18216,136,SAT
162,18216,290,SAT
163,18216,169,SAT
164,18216,146,SAT
165,18216,137,SAT
166,18216,136,SAT
167,18216,197,SAT
168,18216,149,SAT
169,18216,153,SAT
170,18216,193,SAT
171,18216,134,SAT
172,18216,182,SAT
173,18216,140,SAT
174,18216,140,SAT
175,18216,165,SAT
176,18216,179,SAT
177,18216,145,SAT
178,18216,146,SAT
179,18216,133,SAT
180,18216,211,SAT
181,18216,187,SAT
182,18216,152,SAT
183,18216,141,SAT
184,18216,143,SAT
185,18216,142,SAT
186,18216,152,SAT
187,18216,155,SAT
188,18216,155,SAT
190,18216,156,SAT
189,18216,146,SAT
191,18216,175,SAT
192,18216,198,SAT
193,18216,144,SAT
194,18216,172,SAT
195,18216,151,SAT
196,18216,135,SAT
197,18216,203,SAT
198,18216,152,SAT
199,18216,152,SAT
200,18216,145,SAT
201,18216,175,SAT
202,18216,149,SAT
204,18216,138,SAT
203,18216,147,SAT
205,18216,134,SAT
206,18216,137,SAT
207,18216,133,SAT
208,18216,188,SAT
209,18216,189,SAT
210,18216,167,SAT
211,18216,120,SAT
212,18216,206,SAT
213,18216,152,SAT
214,18216,179,SAT
215,18216,174,SAT
217,18216,121,SAT
216,18216,128,SAT
218,18216,161,SAT
220,18216,143,SAT
219,18216,123,SAT
221,18216,158,SAT
222,18216,166,SAT
223,18216,143,SAT
224,18216,136,SAT
225,18216,151,SAT
226,18216,179,SAT
227,18216,156,SAT
228,18216,157,SAT
229,18216,163,SAT
230,18216,187,SAT
231,18216,114,SAT
232,18216,204,SAT
234,18216,140,SAT
233,18216,167,SAT
236,18216,145,SAT
235,18216,153,SAT
237,18216,156,SAT
239,18216,181,SAT
238,18216,121,SAT
240,18216,132,SAT
241,18216,146,SAT
242,18216,153,SAT
243,18216,185,SAT
244,18216,160,SAT
245,18216,134,SAT
246,18216,187,SAT
247,18216,158,SAT
248,18216,150,SAT
249,18344,150,SAT
250,18344,150,SAT
251,18344,135,SAT
252,18344,132,SAT
253,18344,134,SAT
254,18344,135,SAT
255,18344,198,SAT
256,18344,174,SAT
257,18344,138,SAT
258,18344,154,SAT
259,18344,136,SAT
260,18344,134,SAT
261,18344,155,SAT
262,18344,148,SAT
263,18344,190,SAT
264,18344,200,SAT
265,18344,136,SAT
266,18344,147,SAT
267,18344,137,SAT
268,18344,168,SAT
269,18344,139,SAT
270,18344,155,SAT
272,18344,185,SAT
271,18344,158,SAT
273,18344,132,SAT
274,18344,138,SAT
275,18344,157,SAT
276,18344,146,SAT
277,18344,179,SAT
278,18344,146,SAT
279,18344,153,SAT
280,18344,167,SAT
281,18344,136,SAT
283,18344,130,SAT
282,18344,148,SAT
284,18344,184,SAT
285,18344,132,SAT
286,18344,136,SAT
287,18344,156,SAT
288,18344,162,SAT
289,18344,141,SAT
290,18344,177,SAT
291,18344,132,SAT
292,18344,131,SAT
293,18344,157,SAT
294,18344,134,SAT
295,18344,167,SAT
296,18344,139,SAT
297,18344,125,SAT
299,18344,140,SAT
298,18344,153,SAT
300,18344,157,SAT
302,18344,152,SAT
301,18344,146,SAT
303,18344,189,SAT
304,18344,126,SAT
305,18344,162,SAT
306,18344,167,SAT
307,18344,131,SAT
308,18344,168,SAT
310,18344,158,SAT
311,18344,167,SAT
309,18344,150,SAT
312,18344,134,SAT
313,18344,154,SAT
314,18344,130,SAT
315,18344,147,SAT
316,18344,138,SAT
317,18344,129,SAT
318,18344,143,SAT
319,18344,141,SAT
320,18344,127,SAT
321,18344,160,SAT
322,18344,133,SAT
323,18344,141,SAT
324,18344,165,SAT
325,18344,167,SAT
326,18344,144,SAT
327,18344,156,SAT
328,18344,151,SAT
329,18344,178,SAT
330,18344,137,SAT
331,18344,143,SAT
332,18344,142,SAT
333,18344,131,SAT
334,18344,155,SAT
335,18344,155,SAT
336,18344,146,SAT
337,18344,166,SAT
338,18344,169,SAT
339,18344,149,SAT
340,18344,150,SAT
341,18344,153,SAT
342,18344,117,SAT
343,18344,140,SAT
344,18344,140,SAT
345,18344,151,SAT
346,18344,211,SAT
347,18344,158,SAT
348,18344,141,SAT
349,18344,139,SAT
350,18344,196,SAT
351,18344,145,SAT
352,18344,168,SAT
354,18344,216,SAT
353,18344,189,SAT
355,18344,146,SAT
356,18344,160,SAT
357,18344,122,SAT
358,18344,144,SAT
359,18344,150,SAT
360,18344,150,SAT
362,18344,141,SAT
361,18344,132,SAT
364,18344,148,SAT
363,18344,150,SAT
365,18344,134,SAT
366,18344,133,SAT
367,18344,170,SAT
368,18344,135,SAT
369,18344,155,SAT
370,18344,145,SAT
371,18344,165,SAT
372,18344,148,SAT
373,18344,131,SAT
374,18344,149,SAT
375,18344,158,SAT
376,18344,172,SAT
377,18344,145,SAT
378,18344,151,SAT
379,18344,154,SAT
380,18344,153,SAT
381,18344,153,SAT
382,18344,146,SAT
383,18344,148,SAT
384,18344,132,SAT
385,18344,134,SAT
386,18344,145,SAT
387,18344,157,SAT
388,18344,135,SAT
389,18344,154,SAT
390,18344,163,SAT
391,18344,126,SAT
392,18344,134,SAT
393,18344,139,SAT
394,18344,146,SAT
395,18344,166,SAT
396,18344,134,SAT
397,18344,176,SAT
398,18344,158,SAT
399,18344,141,SAT
400,18344,202,SAT
401,18344,140,SAT
402,18344,127,SAT
403,18344,154,SAT
404,18344,158,SAT
405,18344,144,SAT
406,18344,145,SAT
407,18344,199,SAT
408,18344,221,SAT
409,18344,149,SAT
410,18344,145,SAT
411,18344,166,SAT
412,18344,169,SAT
413,18344,145,SAT
414,18344,141,SAT
415,18344,160,SAT
416,18344,141,SAT
417,18344,171,SAT
418,18344,166,SAT
419,18344,151,SAT
420,18344,157,SAT
421,18344,144,SAT
422,18344,149,SAT
423,18344,146,SAT
424,18344,146,SAT
426,18344,164,SAT
425,18344,145,SAT
427,18344,160,SAT
428,18344,129,SAT
429,18344,150,SAT
430,18344,146,SAT
431,18344,148,SAT
432,18344,160,SAT
433,18344,138,SAT
434,18344,137,SAT
436,18344,141,SAT
435,18344,139,SAT
437,18344,130,SAT
438,18344,155,SAT
439,18344,146,SAT
440,18344,128,SAT
441,18344,201,SAT
442,18344,165,SAT
444,18344,149,SAT
443,18344,144,SAT
446,18344,165,SAT
445,18344,158,SAT
447,18344,147,SAT
448,18344,183,SAT
449,18344,153,SAT
450,18344,149,SAT
451,18344,168,SAT
452,18344,137,SAT
453,18344,134,SAT
454,18344,171,SAT
455,18344,204,SAT
456,18344,154,SAT
457,18344,170,SAT
458,18344,179,SAT
459,18344,173,SAT
460,18344,150,SAT
461,18344,167,SAT
462,18344,124,SAT
463,18344,164,SAT
464,18344,155,SAT
465,18344,154,SAT
466,18344,163,SAT
467,18344,145,SAT
468,18344,170,SAT
469,18344,124,SAT
470,18344,185,SAT
471,18344,171,SAT
472,18344,135,SAT
474,18344,188,SAT
473,18344,148,SAT
475,18344,157,SAT
476,18344,155,SAT
478,18344,175,SAT
477,18344,215,SAT
479,18344,154,SAT
480,18344,136,SAT
481,18344,183,SAT
482,18344,162,SAT
483,18344,154,SAT
484,18344,139,SAT
485,18344,124,SAT
486,18344,143,SAT
487,18344,159,SAT
489,18344,148,SAT
488,18344,133,SAT
490,18344,142,SAT
491,18344,131,SAT
492,18344,165,SAT
493,18344,142,SAT
494,18344,157,SAT
495,18344,167,SAT
496,18344,142,SAT
497,18344,143,SAT
498,18344,153,SAT
499,18344,161,SAT
500,18344,159,SAT
501,18344,150,SAT
502,18344,147,SAT
503,18344,146,SAT
504,18344,137,SAT
505,18344,137,SAT
506,18344,132,SAT
507,18344,136,SAT
508,18344,130,SAT
509,18344,137,SAT
511,18344,152,SAT
510,18344,160,SAT
512,18344,137,SAT
513,18344,167,SAT
514,18344,144,SAT
515,18344,167,SAT
516,18344,204,SAT
517,18344,122,SAT
518,18344,153,SAT
519,18344,210,SAT
520,18344,157,SAT
521,18344,144,SAT
522,18344,163,SAT
523,18344,144,SAT
524,18344,181,SAT
525,18472,146,SAT
527,18472,134,SAT
526,18472,175,SAT
528,18472,150,SAT
529,18472,140,SAT
