Test,Max RSS,Algo time,Result
1,18448,39315,UNSAT
3,18448,38522,UNSAT
2,18448,39871,UNSAT
6,18448,49535,UNSAT
5,18448,39053,UNSAT
4,18448,37667,UNSAT
7,18448,38879,UNSAT
8,18448,38663,UNSAT
9,18448,39236,UNSAT
10,18448,39517,UNSAT
11,18448,38626,UNSAT
13,18448,62516,UNSAT
12,18448,46835,UNSAT
14,18448,48064,UNSAT
15,18448,40724,UNSAT
16,18448,31321,UNSAT
17,18448,54437,UNSAT
18,18448,38158,UNSAT
19,18448,38780,UNSAT
20,18448,38168,UNSAT
21,18448,47499,UNSAT
22,18448,39576,UNSAT
24,18448,41163,UNSAT
23,18448,48053,UNSAT
25,18448,38884,UNSAT
26,18448,37988,UNSAT
27,18448,50824,UNSAT
28,18448,38454,UNSAT
29,18448,46515,UNSAT
30,18448,47976,UNSAT
32,18448,30908,UNSAT
31,18448,38440,UNSAT
33,18448,38441,UNSAT
35,18448,48306,UNSAT
36,18448,41535,UNSAT
34,18448,38872,UNSAT
37,18448,39183,UNSAT
38,18448,49010,UNSAT
39,18448,47854,UNSAT
40,18448,48644,UNSAT
41,18448,38134,UNSAT
42,18448,40317,UNSAT
43,18448,38565,UNSAT
44,18448,38903,UNSAT
45,18448,38646,UNSAT
46,18448,75128,UNSAT
47,18448,38701,UNSAT
48,18448,32713,UNSAT
49,18448,39108,UNSAT
50,18448,38906,UNSAT
51,18448,54683,UNSAT
52,18448,40278,UNSAT
53,18448,47177,UNSAT
55,18448,47795,UNSAT
56,18448,50716,UNSAT
57,18448,38467,UNSAT
54,18448,38291,UNSAT
58,18448,37808,UNSAT
59,18448,38124,UNSAT
60,18448,39313,UNSAT
61,18448,38698,UNSAT
62,18448,40011,UNSAT
63,18448,46218,UNSAT
64,18448,24018,UNSAT
67,18448,38059,UNSAT
65,18448,39577,UNSAT
66,18448,38285,UNSAT
68,18448,39587,UNSAT
69,18448,42689,UNSAT
70,18448,47897,UNSAT
71,18448,47974,UNSAT
73,18448,39574,UNSAT
72,18448,39568,UNSAT
75,18448,49290,UNSAT
74,18448,38504,UNSAT
76,18448,38045,UNSAT
77,18448,47555,UNSAT
78,18448,38250,UNSAT
79,18448,38666,UNSAT
80,18448,30762,UNSAT
81,18448,38588,UNSAT
83,18448,38337,UNSAT
82,18448,39320,UNSAT
84,18448,39051,UNSAT
85,18448,38309,UNSAT
86,18448,41798,UNSAT
87,18448,39047,UNSAT
88,18448,48557,UNSAT
