Test,Max RSS,Algo time,Result
1,18616,4298,UNSAT
3,18616,11972,UNSAT
5,18616,41948,UNSAT
7,18616,28311,UNSAT
9,18616,5076,UNSAT
11,18616,29286,UNSAT
15,18616,13800,UNSAT
13,18616,7341,UNSAT
14,18616,9605,UNSAT
12,18616,65050,UNSAT
6,18616,13872,UNSAT
4,18616,17517,UNSAT
8,18616,11949,UNSAT
10,18616,9892,UNSAT
2,18616,8047,UNSAT
21,18616,9927,UNSAT
20,18616,30195,UNSAT
19,18616,2866,UNSAT
22,18616,7584,UNSAT
18,18616,8964,UNSAT
24,18616,15807,UNSAT
17,18616,17659,UNSAT
25,18616,2452,UNSAT
16,18616,8793,UNSAT
23,18616,9131,UNSAT
33,18616,19774,UNSAT
32,18616,6473,UNSAT
28,18616,7833,UNSAT
31,18616,21236,UNSAT
46,18616,6045,UNSAT
30,18616,56454,UNSAT
27,18616,8706,UNSAT
26,18616,8062,UNSAT
38,18616,20671,UNSAT
29,18616,13983,UNSAT
37,18616,10549,UNSAT
41,18616,23609,UNSAT
45,18616,11190,UNSAT
39,18616,10535,UNSAT
47,18616,15005,UNSAT
43,18616,6563,UNSAT
40,18616,15411,UNSAT
34,18616,18507,UNSAT
36,18616,22152,UNSAT
42,18616,16165,UNSAT
35,18616,24784,UNSAT
44,18616,7075,UNSAT
54,18616,44256,UNSAT
49,18616,14242,UNSAT
51,18616,5838,UNSAT
53,18616,37066,UNSAT
52,18616,14096,UNSAT
48,18616,6715,UNSAT
58,18744,31111,UNSAT
60,18744,5450,UNSAT
67,18744,34004,UNSAT
56,18744,6677,UNSAT
50,18616,23700,UNSAT
76,18744,13826,UNSAT
61,18744,2443,UNSAT
65,18744,14770,UNSAT
66,18744,59943,UNSAT
64,18744,17753,UNSAT
57,18744,20759,UNSAT
55,18616,3321,UNSAT
71,18744,13646,UNSAT
59,18744,14808,UNSAT
68,18744,16391,UNSAT
72,18744,8253,UNSAT
62,18744,10850,UNSAT
70,18744,6107,UNSAT
77,18744,5481,UNSAT
75,18744,28521,UNSAT
69,18744,18414,UNSAT
63,18744,26721,UNSAT
74,18744,33948,UNSAT
78,18744,25450,UNSAT
73,18744,24178,UNSAT
79,18744,9423,UNSAT
80,18744,2995,UNSAT
85,18744,38285,UNSAT
88,18744,11815,UNSAT
89,18744,14111,UNSAT
86,18744,7986,UNSAT
82,18744,2925,UNSAT
87,18744,10786,UNSAT
84,18744,10933,UNSAT
91,18744,60425,UNSAT
92,18744,62356,UNSAT
81,18744,13478,UNSAT
93,18744,25388,UNSAT
98,18744,14782,UNSAT
97,18744,28821,UNSAT
104,18744,6479,UNSAT
99,18744,16157,UNSAT
101,18744,35201,UNSAT
83,18744,8212,UNSAT
100,18744,19216,UNSAT
95,18744,8868,UNSAT
103,18744,2488,UNSAT
96,18744,14598,UNSAT
94,18744,11998,UNSAT
102,18744,26216,UNSAT
90,18744,57137,UNSAT
105,18744,4374,UNSAT
109,18744,41127,UNSAT
107,18744,4018,UNSAT
111,18744,13363,UNSAT
110,18744,29277,UNSAT
108,18744,28917,UNSAT
106,18744,43784,UNSAT
123,18744,4949,UNSAT
112,18744,8793,UNSAT
122,18744,5771,UNSAT
120,18744,16529,UNSAT
121,18744,26263,UNSAT
113,18744,6538,UNSAT
125,18744,31358,UNSAT
126,18744,13544,UNSAT
116,18744,4331,UNSAT
117,18744,75043,UNSAT
118,18744,14731,UNSAT
124,18744,7310,UNSAT
119,18744,43687,UNSAT
115,18744,11999,UNSAT
127,18744,16855,UNSAT
128,18744,54132,UNSAT
114,18744,7315,UNSAT
129,18744,27576,UNSAT
130,18744,12903,UNSAT
144,18744,12313,UNSAT
141,18744,3958,UNSAT
132,18744,42208,UNSAT
131,18744,9560,UNSAT
143,18744,19086,UNSAT
133,18744,13167,UNSAT
136,18744,3650,UNSAT
140,18744,6671,UNSAT
137,18744,4681,UNSAT
142,18744,7767,UNSAT
146,18744,2912,UNSAT
134,18744,23648,UNSAT
139,18744,14075,UNSAT
135,18744,22000,UNSAT
145,18744,3973,UNSAT
138,18744,11589,UNSAT
148,18744,12144,UNSAT
147,18744,38722,UNSAT
151,18744,25792,UNSAT
149,18744,15010,UNSAT
152,18744,14156,UNSAT
150,18744,10111,UNSAT
153,18744,17580,UNSAT
164,18744,6311,UNSAT
177,18744,5485,UNSAT
154,18744,18534,UNSAT
155,18744,12958,UNSAT
156,18744,29611,UNSAT
162,18744,14030,UNSAT
161,18744,10005,UNSAT
157,18744,2880,UNSAT
158,18744,49866,UNSAT
166,18744,14522,UNSAT
163,18744,48203,UNSAT
159,18744,12193,UNSAT
167,18744,3665,UNSAT
160,18744,42159,UNSAT
168,18744,11819,UNSAT
176,18744,2927,UNSAT
173,18744,21854,UNSAT
172,18744,8875,UNSAT
174,18744,10201,UNSAT
169,18744,13431,UNSAT
175,18744,20600,UNSAT
165,18744,25230,UNSAT
185,18744,16587,UNSAT
171,18744,20920,UNSAT
170,18744,4726,UNSAT
192,18744,5114,UNSAT
193,18744,8840,UNSAT
179,18744,20293,UNSAT
178,18744,5770,UNSAT
181,18744,15379,UNSAT
182,18744,8343,UNSAT
186,18744,10714,UNSAT
187,18744,47035,UNSAT
184,18744,14004,UNSAT
190,18744,13434,UNSAT
188,18744,6088,UNSAT
180,18744,3245,UNSAT
183,18744,11625,UNSAT
189,18744,2905,UNSAT
194,18744,11364,UNSAT
191,18744,13522,UNSAT
195,18744,2478,UNSAT
198,18744,34826,UNSAT
196,18744,15748,UNSAT
199,18744,12640,UNSAT
197,18744,17493,UNSAT
201,18744,40039,UNSAT
200,18744,7286,UNSAT
202,18744,5887,UNSAT
203,18744,27546,UNSAT
204,18744,14953,UNSAT
206,18744,17427,UNSAT
207,18744,11612,UNSAT
205,18744,42715,UNSAT
208,18744,16707,UNSAT
212,18744,8758,UNSAT
210,18744,6535,UNSAT
211,18744,26293,UNSAT
209,18744,3325,UNSAT
224,18744,24390,UNSAT
225,18744,11940,UNSAT
213,18744,30934,UNSAT
214,18744,6102,UNSAT
226,18744,9132,UNSAT
217,18744,26639,UNSAT
215,18744,14205,UNSAT
218,18744,6843,UNSAT
216,18744,18561,UNSAT
219,18744,14671,UNSAT
221,18744,29104,UNSAT
220,18744,3649,UNSAT
230,18744,12054,UNSAT
222,18744,5097,UNSAT
223,18744,5393,UNSAT
227,18744,18435,UNSAT
231,18744,17456,UNSAT
232,18744,13240,UNSAT
228,18744,6422,UNSAT
229,18744,12816,UNSAT
233,18744,2491,UNSAT
234,18744,2489,UNSAT
235,18744,8755,UNSAT
237,18744,3591,UNSAT
236,18744,50430,UNSAT
238,18744,6780,UNSAT
243,18744,13939,UNSAT
239,18744,8359,UNSAT
244,18744,12040,UNSAT
242,18744,3737,UNSAT
240,18744,71044,UNSAT
241,18744,6472,UNSAT
246,18744,9152,UNSAT
249,18744,16981,UNSAT
248,18744,13882,UNSAT
245,18744,4708,UNSAT
250,18744,15384,UNSAT
251,18744,7344,UNSAT
253,18744,29351,UNSAT
252,18744,15509,UNSAT
254,18744,8822,UNSAT
247,18744,7500,UNSAT
255,18744,15175,UNSAT
256,18744,6008,UNSAT
257,18744,10879,UNSAT
258,18744,19400,UNSAT
259,18744,9629,UNSAT
260,18744,12766,UNSAT
261,18744,8091,UNSAT
266,18744,8931,UNSAT
263,18744,10545,UNSAT
264,18744,14342,UNSAT
262,18744,50293,UNSAT
265,18744,7158,UNSAT
271,18744,12717,UNSAT
267,18744,3708,UNSAT
269,18744,6361,UNSAT
270,18744,13610,UNSAT
273,18744,17019,UNSAT
272,18744,16352,UNSAT
274,18744,4085,UNSAT
275,18744,22104,UNSAT
268,18744,13674,UNSAT
276,18744,2906,UNSAT
277,18744,26198,UNSAT
278,18744,44864,UNSAT
283,18744,3733,UNSAT
279,18744,15129,UNSAT
282,18744,12951,UNSAT
280,18744,11876,UNSAT
284,18744,5415,UNSAT
281,18744,4729,UNSAT
285,18744,8654,UNSAT
286,18744,10629,UNSAT
287,18744,4689,UNSAT
288,18744,13746,UNSAT
289,18744,2814,UNSAT
290,18744,6754,UNSAT
297,18744,8901,UNSAT
291,18744,34131,UNSAT
292,18744,38784,UNSAT
293,18744,7791,UNSAT
294,18744,4925,UNSAT
298,18744,23633,UNSAT
295,18744,15508,UNSAT
300,18744,17161,UNSAT
296,18744,12912,UNSAT
301,18744,33284,UNSAT
302,18744,67264,UNSAT
299,18744,35173,UNSAT
303,18744,15243,UNSAT
304,18744,7263,UNSAT
306,18744,27531,UNSAT
307,18744,8540,UNSAT
305,18744,10966,UNSAT
313,18744,11401,UNSAT
314,18744,8494,UNSAT
315,18744,11310,UNSAT
308,18744,16966,UNSAT
309,18744,35835,UNSAT
312,18744,53295,UNSAT
311,18744,17120,UNSAT
310,18744,11423,UNSAT
318,18744,9863,UNSAT
316,18744,9253,UNSAT
317,18744,6699,UNSAT
319,18744,4425,UNSAT
326,18744,5685,UNSAT
321,18744,16847,UNSAT
325,18744,3708,UNSAT
320,18744,10351,UNSAT
322,18744,5331,UNSAT
323,18744,26113,UNSAT
324,18744,43408,UNSAT
327,18744,9058,UNSAT
328,18744,31811,UNSAT
329,18744,24344,UNSAT
330,18744,31548,UNSAT
331,18744,12358,UNSAT
332,18744,11744,UNSAT
334,18744,16891,UNSAT
333,18744,11218,UNSAT
335,18744,6408,UNSAT
338,18744,6058,UNSAT
336,18744,10147,UNSAT
339,18744,7649,UNSAT
340,18744,5135,UNSAT
343,18744,17316,UNSAT
337,18744,18734,UNSAT
341,18744,9823,UNSAT
342,18744,39337,UNSAT
344,18744,8451,UNSAT
345,18744,14351,UNSAT
346,18744,3689,UNSAT
347,18744,20484,UNSAT
348,18744,11889,UNSAT
349,18744,14226,UNSAT
350,18744,14079,UNSAT
353,18744,4775,UNSAT
355,18744,10330,UNSAT
351,18744,7268,UNSAT
354,18744,21937,UNSAT
352,18744,4371,UNSAT
366,18744,4740,UNSAT
365,18744,49752,UNSAT
364,18744,26309,UNSAT
356,18744,54743,UNSAT
371,18744,9145,UNSAT
368,18744,19781,UNSAT
369,18744,18195,UNSAT
367,18744,8828,UNSAT
370,18744,7142,UNSAT
372,18744,31142,UNSAT
357,18744,2530,UNSAT
358,18744,5475,UNSAT
363,18744,28878,UNSAT
360,18744,7476,UNSAT
376,18744,14996,UNSAT
359,18744,22738,UNSAT
374,18744,4706,UNSAT
380,18744,11405,UNSAT
381,18744,6082,UNSAT
382,18744,38707,UNSAT
384,18744,24159,UNSAT
383,18744,5044,UNSAT
373,18744,55550,UNSAT
361,18744,8365,UNSAT
388,18744,23787,UNSAT
385,18744,4848,UNSAT
386,18744,24144,UNSAT
387,18744,15101,UNSAT
362,18744,22409,UNSAT
391,18744,17197,UNSAT
392,18744,6595,UNSAT
389,18744,10668,UNSAT
377,18744,5837,UNSAT
390,18744,4002,UNSAT
393,18744,11445,UNSAT
397,18744,3679,UNSAT
398,18744,6708,UNSAT
394,18744,10929,UNSAT
395,18744,3280,UNSAT
375,18744,17404,UNSAT
396,18744,15347,UNSAT
399,18744,34120,UNSAT
401,18744,10815,UNSAT
378,18744,27655,UNSAT
402,18744,12295,UNSAT
403,18744,8917,UNSAT
404,18744,20525,UNSAT
407,18744,6961,UNSAT
405,18744,32292,UNSAT
400,18744,5751,UNSAT
379,18744,37698,UNSAT
409,18744,27335,UNSAT
408,18744,22117,UNSAT
406,18744,5907,UNSAT
411,18744,30839,UNSAT
410,18744,27621,UNSAT
412,18744,12559,UNSAT
413,18744,66624,UNSAT
414,18744,3662,UNSAT
415,18744,12739,UNSAT
416,18744,9602,UNSAT
417,18744,4364,UNSAT
418,18744,7954,UNSAT
422,18744,33623,UNSAT
419,18744,6297,UNSAT
421,18744,54836,UNSAT
420,18744,14465,UNSAT
423,18744,12832,UNSAT
424,18744,13692,UNSAT
425,18744,13081,UNSAT
426,18744,13682,UNSAT
429,18744,8042,UNSAT
427,18744,6626,UNSAT
428,18744,11044,UNSAT
430,18744,9334,UNSAT
431,18744,9296,UNSAT
432,18744,7273,UNSAT
433,18744,14278,UNSAT
434,18744,16521,UNSAT
435,18744,5907,UNSAT
436,18744,16225,UNSAT
437,18744,41187,UNSAT
438,18744,19524,UNSAT
439,18744,2990,UNSAT
440,18744,2479,UNSAT
442,18744,13441,UNSAT
441,18744,28510,UNSAT
443,18744,34692,UNSAT
444,18744,7987,UNSAT
449,18744,3614,UNSAT
445,18744,4682,UNSAT
450,18744,31036,UNSAT
446,18744,3519,UNSAT
451,18744,14793,UNSAT
447,18744,12492,UNSAT
448,18744,10469,UNSAT
452,18744,17305,UNSAT
453,18744,20004,UNSAT
454,18744,3936,UNSAT
455,18744,17012,UNSAT
456,18744,51571,UNSAT
457,18744,22545,UNSAT
459,18744,12830,UNSAT
458,18744,16603,UNSAT
460,18744,21693,UNSAT
461,18744,43957,UNSAT
462,18744,16783,UNSAT
463,18744,5534,UNSAT
466,18744,35932,UNSAT
464,18744,27051,UNSAT
465,18744,27043,UNSAT
467,18744,37846,UNSAT
468,18744,7197,UNSAT
469,18744,22271,UNSAT
470,18744,18241,UNSAT
471,18744,26286,UNSAT
472,18744,15898,UNSAT
473,18744,30173,UNSAT
474,18744,15785,UNSAT
478,18744,22826,UNSAT
477,18744,31059,UNSAT
475,18744,8349,UNSAT
476,18744,34225,UNSAT
479,18744,14353,UNSAT
481,18744,35715,UNSAT
483,18744,11721,UNSAT
485,18744,25949,UNSAT
484,18744,18030,UNSAT
482,18744,20441,UNSAT
480,18744,55038,UNSAT
486,18744,16384,UNSAT
491,18744,30388,UNSAT
489,18744,16479,UNSAT
488,18744,15381,UNSAT
490,18744,5827,UNSAT
487,18744,13716,UNSAT
494,18744,46093,UNSAT
495,18744,27835,UNSAT
498,18744,25880,UNSAT
496,18744,7732,UNSAT
501,18744,21220,UNSAT
497,18744,15379,UNSAT
502,18744,16617,UNSAT
499,18744,15292,UNSAT
504,18744,14974,UNSAT
492,18744,8839,UNSAT
505,18744,9024,UNSAT
506,18744,55963,UNSAT
493,18744,13792,UNSAT
508,18744,2605,UNSAT
503,18744,20777,UNSAT
509,18744,4034,UNSAT
507,18744,14062,UNSAT
510,18744,22810,UNSAT
500,18744,11054,UNSAT
511,18744,10745,UNSAT
512,18744,18673,UNSAT
513,18744,2867,UNSAT
514,18744,14584,UNSAT
515,18744,35816,UNSAT
516,18744,12211,UNSAT
517,18744,11505,UNSAT
518,18744,14920,UNSAT
519,18744,7891,UNSAT
523,18744,31137,UNSAT
525,18744,10720,UNSAT
520,18744,42949,UNSAT
526,18744,13187,UNSAT
527,18744,17314,UNSAT
528,18744,3963,UNSAT
529,18744,47920,UNSAT
522,18744,17644,UNSAT
521,18744,3220,UNSAT
530,18744,28064,UNSAT
524,18744,2524,UNSAT
531,18744,18104,UNSAT
532,18744,11165,UNSAT
534,18744,38392,UNSAT
533,18744,16980,UNSAT
535,18744,67581,UNSAT
536,18744,4318,UNSAT
537,18744,20632,UNSAT
538,18744,20620,UNSAT
539,18744,10342,UNSAT
